en,zh-Hans,ja,it,es,de,fr,zh-Hant,ko,roomaji,ja-Hrkt
Seedot,橡实果,タネボー,Seedot,Seedot,Samurzel,Grainipiot,橡實果,도토링,Taneboh,タネボー
Buneary,卷卷耳,ミミロル,Buneary,Buneary,Haspiror,Laporeille,捲捲耳,이어롤,Mimirol,ミミロル
Swellow,大王燕,オオスバメ,Swellow,Swellow,Schwalboss,Hélédelle,大王燕,스왈로,Ohsubame,オオスバメ
Eevee,伊布,イーブイ,Eevee,Eevee,Evoli,Évoli,伊布,이브이,Eievui,イーブイ
Poliwrath,蚊香泳士,ニョロボン,Poliwrath,Poliwrath,Quappo,Tartard,蚊香泳士,강챙이,Nyorobon,ニョロボン
Butterfree,巴大蝶,バタフリー,Butterfree,Butterfree,Smettbo,Papilusion,巴大蝶,버터플,Butterfree,バタフリー
Gliscor,天蝎王,グライオン,Gliscor,Gliscor,Skorgro,Scorvol,天蠍王,글라이온,Glion,グライオン
Wobbuffet,果然翁,ソーナンス,Wobbuffet,Wobbuffet,Woingenau,Qulbutoké,果然翁,마자용,Sonans,ソーナンス
Cresselia,克雷色利亚,クレセリア,Cresselia,Cresselia,Cresselia,Cresselia,克雷色利亞,크레세리아,Crecelia,クレセリア
Tangela,蔓藤怪,モンジャラ,Tangela,Tangela,Tangela,Saquedeneu,蔓藤怪,덩쿠리,Monjara,モンジャラ
Absol,阿勃梭鲁,アブソル,Absol,Absol,Absol,Absol,阿勃梭魯,앱솔,Absol,アブソル
Azurill,露力丽,ルリリ,Azurill,Azurill,Azurill,Azurill,露力麗,루리리,Ruriri,ルリリ
Arceus,阿尔宙斯,アルセウス,Arceus,Arceus,Arceus,Arceus,阿爾宙斯,아르세우스,Arceus,アルセウス
Magnemite,小磁怪,コイル,Magnemite,Magnemite,Magnetilo,Magnéti,小磁怪,코일,Coil,コイル
Sceptile,蜥蜴王,ジュカイン,Sceptile,Sceptile,Gewaldro,Jungko,蜥蜴王,나무킹,Jukain,ジュカイン
Linoone,直冲熊,マッスグマ,Linoone,Linoone,Geradaks,Linéon,直衝熊,직구리,Massuguma,マッスグマ
Cleffa,皮宝宝,ピィ,Cleffa,Cleffa,Pii,Mélo,皮寶寶,삐,Py,ピィ
Lapras,拉普拉斯,ラプラス,Lapras,Lapras,Lapras,Lokhlass,拉普拉斯,라프라스,Laplace,ラプラス
Bronzor,铜镜怪,ドーミラー,Bronzor,Bronzor,Bronzel,Archéomire,銅鏡怪,동미러,Domirror,ドーミラー
Mankey,猴怪,マンキー,Mankey,Mankey,Menki,Férosinge,猴怪,망키,Mankey,マンキー
Mawile,大嘴娃,クチート,Mawile,Mawile,Flunkifer,Mysdibule,大嘴娃,입치트,Kucheat,クチート
Palkia,帕路奇亚,パルキア,Palkia,Palkia,Palkia,Palkia,帕路奇亞,펄기아,Palkia,パルキア
Raticate,拉达,ラッタ,Raticate,Raticate,Rattikarl,Rattatac,拉達,레트라,Ratta,ラッタ
Snubbull,布鲁,ブルー,Snubbull,Snubbull,Snubbull,Snubbull,布魯,블루,Bulu,ブルー
Sharpedo,巨牙鲨,サメハダー,Sharpedo,Sharpedo,Tohaido,Sharpedo,巨牙鯊,샤크니아,Samehader,サメハダー
Houndour,戴鲁比,デルビル,Houndour,Houndour,Hunduster,Malosse,戴魯比,델빌,Delvil,デルビル
Aggron,波士可多拉,ボスゴドラ,Aggron,Aggron,Stolloss,Galeking,波士可多拉,보스로라,Bossgodora,ボスゴドラ
Slowbro,呆壳兽,ヤドラン,Slowbro,Slowbro,Lahmus,Flagadoss,呆殼獸,야도란,Yadoran,ヤドラン
Slakoth,懒人獭,ナマケロ,Slakoth,Slakoth,Bummelz,Parecool,懶人獺,게을로,Namakero,ナマケロ
Celebi,时拉比,セレビィ,Celebi,Celebi,Celebi,Celebi,時拉比,세레비,Celebi,セレビィ
Ampharos,电龙,デンリュウ,Ampharos,Ampharos,Ampharos,Pharamp,電龍,전룡,Denryu,デンリュウ
Omastar,多刺菊石兽,オムスター,Omastar,Omastar,Amoroso,Amonistar,多刺菊石獸,암스타,Omstar,オムスター
Ledian,安瓢虫,レディアン,Ledian,Ledian,Ledian,Coxyclaque,安瓢蟲,레디안,Redian,レディアン
Walrein,帝牙海狮,トドゼルガ,Walrein,Walrein,Walraisa,Kaimorse,帝牙海獅,씨카이저,Todoseruga,トドゼルガ
Farfetch’d,大葱鸭,カモネギ,Farfetch’d,Farfetch’d,Porenta,Canarticho,大蔥鴨,파오리,Kamonegi,カモネギ
Huntail,猎斑鱼,ハンテール,Huntail,Huntail,Aalabyss,Serpang,獵斑魚,헌테일,Huntail,ハンテール
Ambipom,双尾怪手,エテボース,Ambipom,Ambipom,Ambidiffel,Capidextre,雙尾怪手,겟핸보숭,Eteboth,エテボース
Piloswine,长毛猪,イノムー,Piloswine,Piloswine,Keifel,Cochignon,長毛豬,메꾸리,Inomoo,イノムー
Gabite,尖牙陆鲨,ガバイト,Gabite,Gabite,Knarksel,Carmache,尖牙陸鯊,한바이트,Gabite,ガバイト
Doduo,嘟嘟,ドードー,Doduo,Doduo,Dodu,Doduo,嘟嘟,두두,Dodo,ドードー
Crawdaunt,铁螯龙虾,シザリガー,Crawdaunt,Crawdaunt,Krebutack,Colhomard,鐵螯龍蝦,가재장군,Shizariger,シザリガー
Crobat,叉字蝠,クロバット,Crobat,Crobat,Iksbat,Nostenfer,叉字蝠,크로뱃,Crobat,クロバット
Skuntank,坦克臭鼬,スカタンク,Skuntank,Skuntank,Skuntank,Moufflair,坦克臭鼬,스컹탱크,Skutank,スカタンク
Bibarel,大尾狸,ビーダル,Bibarel,Bibarel,Bidifas,Castorno,大尾狸,비버통,Beadull,ビーダル
Squirtle,杰尼龟,ゼニガメ,Squirtle,Squirtle,Schiggy,Carapuce,傑尼龜,꼬부기,Zenigame,ゼニガメ
Exploud,爆音怪,バクオング,Exploud,Exploud,Krawumms,Brouhabam,爆音怪,폭음룡,Bakuong,バクオング
Skiploom,毽子花,ポポッコ,Skiploom,Skiploom,Hubelupf,Floravol,毽子花,두코,Popocco,ポポッコ
Zubat,超音蝠,ズバット,Zubat,Zubat,Zubat,Nosferapti,超音蝠,주뱃,Zubat,ズバット
Swinub,小山猪,ウリムー,Swinub,Swinub,Quiekel,Marcacrin,小山豬,꾸꾸리,Urimoo,ウリムー
Misdreavus,梦妖,ムウマ,Misdreavus,Misdreavus,Traunfugil,Feuforêve,夢妖,무우마,Muma,ムウマ
Totodile,小锯鳄,ワニノコ,Totodile,Totodile,Karnimani,Kaiminus,小鋸鱷,리아코,Waninoko,ワニノコ
Empoleon,帝王拿波,エンペルト,Empoleon,Empoleon,Impoleon,Pingoléon,帝王拿波,엠페르트,Emperte,エンペルト
Wooper,乌波,ウパー,Wooper,Wooper,Felino,Axoloto,烏波,우파,Upah,ウパー
Makuhita,幕下力士,マクノシタ,Makuhita,Makuhita,Makuhita,Makuhita,幕下力士,마크탕,Makunoshita,マクノシタ
Alakazam,胡地,フーディン,Alakazam,Alakazam,Simsala,Alakazam,胡地,후딘,Foodin,フーディン
Cherrim,樱花儿,チェリム,Cherrim,Cherrim,Kinoso,Ceriflor,櫻花兒,체리꼬,Cherrim,チェリム
Seel,小海狮,パウワウ,Seel,Seel,Jurob,Otaria,小海獅,쥬쥬,Pawou,パウワウ
Lickitung,大舌头,ベロリンガ,Lickitung,Lickitung,Schlurp,Excelangue,大舌頭,내루미,Beroringa,ベロリンガ
Snorunt,雪童子,ユキワラシ,Snorunt,Snorunt,Schneppke,Stalgamin,雪童子,눈꼬마,Yukiwarashi,ユキワラシ
Aipom,长尾怪手,エイパム,Aipom,Aipom,Griffel,Capumain,長尾怪手,에이팜,Eipam,エイパム
Breloom,斗笠菇,キノガッサ,Breloom,Breloom,Kapilz,Chapignon,斗笠菇,버섯모,Kinogassa,キノガッサ
Drowzee,催眠貘,スリープ,Drowzee,Drowzee,Traumato,Soporifik,催眠貘,슬리프,Sleep,スリープ
Goldeen,角金鱼,トサキント,Goldeen,Goldeen,Goldini,Poissirène,角金魚,콘치,Tosakinto,トサキント
Pidgey,波波,ポッポ,Pidgey,Pidgey,Taubsi,Roucool,波波,구구,Poppo,ポッポ
Yanma,蜻蜻蜓,ヤンヤンマ,Yanma,Yanma,Yanma,Yanma,蜻蜻蜓,왕자리,Yanyanma,ヤンヤンマ
Meowth,喵喵,ニャース,Meowth,Meowth,Mauzi,Miaouss,喵喵,나옹,Nyarth,ニャース
Kirlia,奇鲁莉安,キルリア,Kirlia,Kirlia,Kirlia,Kirlia,奇魯莉安,킬리아,Kirlia,キルリア
Torkoal,煤炭龟,コータス,Torkoal,Torkoal,Qurtel,Chartor,煤炭龜,코터스,Cotoise,コータス
Whismur,咕妞妞,ゴニョニョ,Whismur,Whismur,Flurmel,Chuchmur,咕妞妞,소곤룡,Gonyonyo,ゴニョニョ
Victreebel,大食花,ウツボット,Victreebel,Victreebel,Sarzenia,Empiflor,大食花,우츠보트,Utsubot,ウツボット
Nidorino,尼多力诺,ニドリーノ,Nidorino,Nidorino,Nidorino,Nidorino,尼多力諾,니드리노,Nidorino,ニドリーノ
Nidorina,尼多娜,ニドリーナ,Nidorina,Nidorina,Nidorina,Nidorina,尼多娜,니드리나,Nidorina,ニドリーナ
Regigigas,雷吉奇卡斯,レジギガス,Regigigas,Regigigas,Regigigas,Regigigas,雷吉奇卡斯,레지기가스,Regigigas,レジギガス
Tentacruel,毒刺水母,ドククラゲ,Tentacruel,Tentacruel,Tentoxa,Tentacruel,毒刺水母,독파리,Dokukurage,ドククラゲ
Lickilicky,大舌舔,ベロベルト,Lickilicky,Lickilicky,Schlurplek,Coudlangue,大舌舔,내룸벨트,Beroberto,ベロベルト
Weepinbell,口呆花,ウツドン,Weepinbell,Weepinbell,Ultrigaria,Boustiflor,口呆花,우츠동,Utsudon,ウツドン
Dodrio,嘟嘟利,ドードリオ,Dodrio,Dodrio,Dodri,Dodrio,嘟嘟利,두트리오,Dodorio,ドードリオ
Vespiquen,蜂女王,ビークイン,Vespiquen,Vespiquen,Honweisel,Apireine,蜂女王,비퀸,Beequeen,ビークイン
Trapinch,大颚蚁,ナックラー,Trapinch,Trapinch,Knacklion,Kraknoix,大顎蟻,톱치,Nuckrar,ナックラー
Floatzel,浮潜鼬,フローゼル,Floatzel,Floatzel,Bojelin,Mustéflott,浮潛鼬,플로젤,Flowsel,フローゼル
Electrode,顽皮雷弹,マルマイン,Electrode,Electrode,Lektrobal,Électrode,頑皮雷彈,붐볼,Marumine,マルマイン
Togepi,波克比,トゲピー,Togepi,Togepi,Togepi,Togepi,波克比,토게피,Togepy,トゲピー
Solrock,太阳岩,ソルロック,Solrock,Solrock,Sonnfel,Solaroc,太陽岩,솔록,Solrock,ソルロック
Sealeo,海魔狮,トドグラー,Sealeo,Sealeo,Seejong,Phogleur,海魔獅,씨레오,Todoggler,トドグラー
Clamperl,珍珠贝,パールル,Clamperl,Clamperl,Perlu,Coquiperl,珍珠貝,진주몽,Pearlulu,パールル
Octillery,章鱼桶,オクタン,Octillery,Octillery,Octillery,Octillery,章魚桶,대포무노,Okutank,オクタン
Electabuzz,电击兽,エレブー,Electabuzz,Electabuzz,Elektek,Élektek,電擊獸,에레브,Eleboo,エレブー
Venonat,毛球,コンパン,Venonat,Venonat,Bluzuk,Mimitoss,毛球,콘팡,Kongpang,コンパン
Treecko,木守宫,キモリ,Treecko,Treecko,Geckarbor,Arcko,木守宮,나무지기,Kimori,キモリ
Pikachu,皮卡丘,ピカチュウ,Pikachu,Pikachu,Pikachu,Pikachu,皮卡丘,피카츄,Pikachu,ピカチュウ
Jynx,迷唇姐,ルージュラ,Jynx,Jynx,Rossana,Lippoutou,迷唇姐,루주라,Rougela,ルージュラ
Manaphy,玛纳霏,マナフィ,Manaphy,Manaphy,Manaphy,Manaphy,瑪納霏,마나피,Manaphy,マナフィ
Hitmonchan,快拳郎,エビワラー,Hitmonchan,Hitmonchan,Nockchan,Tygnon,快拳郎,홍수몬,Ebiwalar,エビワラー
Numel,呆火驼,ドンメル,Numel,Numel,Camaub,Chamallot,呆火駝,둔타,Donmel,ドンメル
Clefable,皮可西,ピクシー,Clefable,Clefable,Pixi,Mélodelfe,皮可西,픽시,Pixy,ピクシー
Cherubi,樱花宝,チェリンボ,Cherubi,Cherubi,Kikugi,Ceribou,櫻花寶,체리버,Cherinbo,チェリンボ
Qwilfish,千针鱼,ハリーセン,Qwilfish,Qwilfish,Baldorfish,Qwilfish,千針魚,침바루,Harysen,ハリーセン
Latias,拉帝亚斯,ラティアス,Latias,Latias,Latias,Latias,拉帝亞斯,라티아스,Latias,ラティアス
Claydol,念力土偶,ネンドール,Claydol,Claydol,Lepumentas,Kaorine,念力土偶,점토도리,Nendoll,ネンドール
Sudowoodo,树才怪,ウソッキー,Sudowoodo,Sudowoodo,Mogelbaum,Simularbre,樹才怪,꼬지모,Usokkie,ウソッキー
Starmie,宝石海星,スターミー,Starmie,Starmie,Starmie,Staross,寶石海星,아쿠스타,Starmie,スターミー
Chinchou,灯笼鱼,チョンチー,Chinchou,Chinchou,Lampi,Loupio,燈籠魚,초라기,Chonchie,チョンチー
Steelix,大钢蛇,ハガネール,Steelix,Steelix,Stahlos,Steelix,大鋼蛇,강철톤,Haganeil,ハガネール
Phanpy,小小象,ゴマゾウ,Phanpy,Phanpy,Phanpy,Phanpy,小小象,코코리,Gomazou,ゴマゾウ
Ninetales,九尾,キュウコン,Ninetales,Ninetales,Vulnona,Feunard,九尾,나인테일,Kyukon,キュウコン
Gulpin,溶食兽,ゴクリン,Gulpin,Gulpin,Schluppuck,Gloupti,溶食獸,꼴깍몬,Gokulin,ゴクリン
Azumarill,玛力露丽,マリルリ,Azumarill,Azumarill,Azumarill,Azumarill,瑪力露麗,마릴리,Marilli,マリルリ
Glalie,冰鬼护,オニゴーリ,Glalie,Glalie,Firnontor,Oniglali,冰鬼護,얼음귀신,Onigohri,オニゴーリ
Camerupt,喷火驼,バクーダ,Camerupt,Camerupt,Camerupt,Camérupt,噴火駝,폭타,Bakuuda,バクーダ
