0,1,2,3,4,5,6,7,8
Bulbasaur,Ivysaur,Venusaur,,,,,,
Charmander,Charmeleon,Charizard,,,,,,
Squirtle,Wartortle,Blastoise,,,,,,
Caterpie,Metapod,Butterfree,,,,,,
Weedle,Kakuna,Beedrill,,,,,,
Pidgey,Pidgeotto,Pidgeot,,,,,,
Rattata,Raticate,,,,,,,
Rattata+alolan,Raticate+alolan,,,,,,,
Spearow,Fearow,,,,,,,
Ekans,Arbok,,,,,,,
Pichu,Pikachu,Raichu,Raichu+alolan,,,,,
Sandshrew,Sandslash,,,,,,,
Sandshrew+alolan,Sandslash+alolan,,,,,,,
Nidoran+male,Nidorina,Nidoqueen,,,,,,
Nidoran+female,Nidorino,Nidoking,,,,,,
Cleffa,Clefairy,Clefable,,,,,,
Vulpix,Ninetales,,,,,,,
Vulpix+alolan,Ninetales+alolan,,,,,,,
Igglybuff,Jigglypuff,Wigglytuff,,,,,,
Zubat,Golbat,Crobat,,,,,,
Oddish,Gloom,Vileplume,Bellossom,,,,,
Paras,Parasect,,,,,,,
Venonat,Venomoth,,,,,,,
Diglett,Dugtrio,,,,,,,
Diglett+alolan,Dugtrio+alolan,,,,,,,
Meowth,Persian,,,,,,,
Meowth+alolan,Persian+alolan,,,,,,,
Psyduck,Golduck,,,,,,,
Mankey,Primeape,,,,,,,
Growlithe,Arcanine,,,,,,,
Poliwag,Poliwhirl,Poliwrath,Politoed,,,,,
Abra,Kadabra,Alakazam,,,,,,
Machop,Machoke,Machamp,,,,,,
Bellsprout,Weepinbell,Victreebel,,,,,,
Tentacool,Tentacruel,,,,,,,
Geodude,Graveler,Golem,,,,,,
Geodude+alolan,Graveler+alolan,Golem+alolan,,,,,,
Ponyta,Rapidash,,,,,,,
Slowpoke,Slowbro,Slowking,,,,,,
Magnemite,Magneton,Magnezone,,,,,,
Farfetchd,,,,,,,,
Doduo,Dodrio,,,,,,,
Seel,Dewgong,,,,,,,
Grimer,Muk,,,,,,,
Grimer+alolan,Muk+alolan,,,,,,,
Shellder,Cloyster,,,,,,,
Gastly,Haunter,Gengar,,,,,,
Onix,Steelix,,,,,,,
Drowzee,Hypno,,,,,,,
Krabby,Kingler,,,,,,,
Voltorb,Electrode,,,,,,,
Exeggcute,Exeggutor,Exeggutor+alolan,,,,,,
Cubone,Marowak,Marowak+alolan,,,,,,
Tyrogue,Hitmonlee,Hitmonchan,Hitmontop,,,,,
Lickitung,Lickilicky,,,,,,,
Koffing,Weezing,,,,,,,
Rhyhorn,Rhydon,Rhyperior,,,,,,
Happiny,Chansey,Blissey,,,,,,
Tangela,Tangrowth,,,,,,,
Kangaskhan,,,,,,,,
Horsea,Seadra,Kingdra,,,,,,
Goldeen,Seaking,,,,,,,
