,rank,cp,ivs,maxlevel,stat-product
0,1,1499,10 15 13,16.5,1880233
1,2,1498,10 13 15,16.5,1877965
2,3,1499,11 15 11,16.5,1874137
3,4,1499,11 13 13,16.5,1871990
4,5,1495,10 14 13,16.5,1871876
5,6,1498,10 14 14,16.5,1871876
6,7,1498,11 11 15,16.5,1869582
7,8,1495,10 12 15,16.5,1869544
8,9,1499,12 13 11,16.5,1865883
9,10,1496,11 14 11,16.5,1865808
10,11,1499,11 14 12,16.5,1865808
11,12,1492,10 15 11,16.5,1865657
12,13,1495,10 15 12,16.5,1865657
13,14,1495,11 12 13,16.5,1863595
14,15,1498,11 12 14,16.5,1863595
15,16,1499,12 11 13,16.5,1863595
16,17,1492,10 13 13,16.5,1863519
17,18,1495,10 13 14,16.5,1863519
18,19,1491,10 11 15,16.5,1861123
19,20,1495,11 10 15,16.5,1861123
20,21,1499,12 14 10,16.5,1859608
21,22,1496,11 15 10,16.5,1859496
22,23,1496,12 12 11,16.5,1857516
23,24,1499,12 12 12,16.5,1857516
24,25,1492,11 13 11,16.5,1857478
25,26,1496,11 13 12,16.5,1857478
26,27,1499,13 11 11,16.5,1857478
27,28,1489,10 14 11,16.5,1857365
28,29,1492,10 14 12,16.5,1857365
29,30,1492,11 11 13,16.5,1855201
30,31,1495,11 11 14,16.5,1855201
31,32,1489,10 12 13,16.5,1855163
32,33,1492,10 12 14,16.5,1855163
33,34,1495,12 10 13,16.5,1855163
34,35,1498,12 10 14,16.5,1855163
35,36,1488,10 10 15,16.5,1852701
36,37,1496,12 13 10,16.5,1851306
37,38,1499,13 12 10,16.5,1851306
38,39,1493,11 14 10,16.5,1851231
39,40,1489,10 15 10,16.5,1851082
40,41,1492,15 15 15,16.0,1850263
41,42,1489,11 12 11,16.5,1849149
42,43,1492,11 12 12,16.5,1849149
43,44,1492,12 11 11,16.5,1849149
44,45,1496,12 11 12,16.5,1849149
45,46,1486,10 13 11,16.5,1849074
46,47,1489,10 13 12,16.5,1849074
47,48,1496,13 10 11,16.5,1849074
48,49,1499,13 10 12,16.5,1849074
49,50,1485,10 11 13,16.5,1846806
50,51,1488,10 11 14,16.5,1846806
51,52,1489,11 10 13,16.5,1846806
52,53,1492,11 10 14,16.5,1846806
53,54,1493,12 12 10,16.5,1843004
54,55,1489,11 13 10,16.5,1842967
55,56,1496,13 11 10,16.5,1842967
56,57,1486,10 14 10,16.5,1842855
57,58,1499,14 10 10,16.5,1842855
58,59,1486,14 15 15,16.0,1842040
59,60,1489,15 14 15,16.0,1842040
60,61,1486,11 11 11,16.5,1840819
61,62,1489,11 11 12,16.5,1840819
62,63,1482,10 12 11,16.5,1840782
63,64,1485,10 12 12,16.5,1840782
64,65,1489,12 10 11,16.5,1840782
65,66,1492,12 10 12,16.5,1840782
66,67,1482,10 10 13,16.5,1838450
67,68,1485,10 10 14,16.5,1838450
68,69,1486,15 15 13,16.0,1835808
69,70,1489,15 15 14,16.0,1835808
70,71,1486,11 12 10,16.5,1834702
71,72,1489,12 11 10,16.5,1834702
72,73,1482,10 13 10,16.5,1834628
73,74,1493,13 10 10,16.5,1834628
74,75,1482,14 14 15,16.0,1833853
75,76,1479,13 15 15,16.0,1833816
76,77,1486,15 13 15,16.0,1833816
77,78,1479,10 11 11,16.5,1832490
78,79,1482,10 11 12,16.5,1832490
79,80,1482,11 10 11,16.5,1832490
80,81,1485,11 10 12,16.5,1832490
81,82,1480,14 15 13,16.0,1827649
82,83,1483,14 15 14,16.0,1827649
83,84,1483,15 14 13,16.0,1827649
84,85,1486,15 14 14,16.0,1827649
85,86,1482,11 11 10,16.5,1826438
86,87,1479,10 12 10,16.5,1826401
87,88,1486,12 10 10,16.5,1826401
88,89,1476,13 14 15,16.0,1825666
89,90,1479,14 13 15,16.0,1825666
90,91,1473,12 15 15,16.0,1825593
91,92,1482,15 12 15,16.0,1825593
92,93,1476,10 10 11,16.5,1824198
93,94,1479,10 10 12,16.5,1824198
94,95,1480,15 15 11,16.0,1821353
95,96,1483,15 15 12,16.0,1821353
96,97,1476,14 14 13,16.0,1819526
97,98,1479,14 14 14,16.0,1819526
98,99,1473,13 15 13,16.0,1819490
99,100,1476,13 15 14,16.0,1819490
100,101,1480,15 13 13,16.0,1819490
101,102,1483,15 13 14,16.0,1819490
102,103,1476,10 11 10,16.5,1818174
103,104,1479,11 10 10,16.5,1818174
104,105,1473,13 13 15,16.0,1817516
105,106,1469,12 14 15,16.0,1817479
106,107,1476,14 12 15,16.0,1817479
107,108,1466,11 15 15,16.0,1817370
108,109,1479,15 11 15,16.0,1817370
109,110,1473,14 15 11,16.0,1813258
110,111,1476,14 15 12,16.0,1813258
111,112,1477,15 14 11,16.0,1813258
112,113,1480,15 14 12,16.0,1813258
113,114,1470,13 14 13,16.0,1811403
114,115,1473,13 14 14,16.0,1811403
115,116,1473,14 13 13,16.0,1811403
116,117,1476,14 13 14,16.0,1811403
117,118,1466,12 15 13,16.0,1811331
118,119,1469,12 15 14,16.0,1811331
119,120,1476,15 12 13,16.0,1811331
120,121,1479,15 12 14,16.0,1811331
121,122,1472,10 10 10,16.5,1809947
122,123,1466,12 13 15,16.0,1809365
123,124,1469,13 12 15,16.0,1809365
124,125,1463,11 14 15,16.0,1809292
125,126,1473,14 11 15,16.0,1809292
126,127,1459,10 15 15,16.0,1809146
127,128,1476,15 10 15,16.0,1809146
128,129,1477,15 15 10,16.0,1806898
129,130,1470,14 14 11,16.0,1805199
130,131,1473,14 14 12,16.0,1805199
131,132,1467,13 15 11,16.0,1805163
132,133,1470,13 15 12,16.0,1805163
133,134,1473,15 13 11,16.0,1805163
134,135,1476,15 13 12,16.0,1805163
135,136,1466,13 13 13,16.0,1803316
136,137,1469,13 13 14,16.0,1803316
137,138,1463,12 14 13,16.0,1803280
138,139,1466,12 14 14,16.0,1803280
139,140,1470,14 12 13,16.0,1803280
140,141,1473,14 12 14,16.0,1803280
141,142,1460,11 15 13,16.0,1803171
142,143,1463,11 15 14,16.0,1803171
143,144,1473,15 11 13,16.0,1803171
144,145,1476,15 11 14,16.0,1803171
145,146,1463,12 12 15,16.0,1801252
146,147,1459,11 13 15,16.0,1801215
147,148,1466,13 11 15,16.0,1801215
148,149,1456,10 14 15,16.0,1801106
149,150,1469,14 10 15,16.0,1801106
150,151,1470,14 15 10,16.0,1798867
151,152,1474,15 14 10,16.0,1798867
152,153,1464,13 14 11,16.0,1797140
153,154,1467,13 14 12,16.0,1797140
154,155,1467,14 13 11,16.0,1797140
155,156,1470,14 13 12,16.0,1797140
156,157,1460,12 15 11,16.0,1797068
157,158,1463,12 15 12,16.0,1797068
158,159,1470,15 12 11,16.0,1797068
159,160,1473,15 12 12,16.0,1797068
160,161,1460,12 13 13,16.0,1795230
161,162,1463,12 13 14,16.0,1795230
162,163,1463,13 12 13,16.0,1795230
163,164,1466,13 12 14,16.0,1795230
164,165,1457,11 14 13,16.0,1795157
165,166,1460,11 14 14,16.0,1795157
166,167,1466,14 11 13,16.0,1795157
167,168,1469,14 11 14,16.0,1795157
168,169,1456,10 15 14,16.0,1795012
169,170,1470,15 10 13,16.0,1795012
170,171,1473,15 10 14,16.0,1795012
171,172,1456,11 12 15,16.0,1793138
172,173,1459,12 11 15,16.0,1793138
173,174,1463,13 10 15,16.0,1793065
174,175,1467,14 14 10,16.0,1790872
175,176,1464,13 15 10,16.0,1790836
176,177,1470,15 13 10,16.0,1790836
177,178,1460,13 13 11,16.0,1789117
178,179,1463,13 13 12,16.0,1789117
179,180,1457,12 14 11,16.0,1789081
180,181,1460,12 14 12,16.0,1789081
181,182,1463,14 12 11,16.0,1789081
182,183,1467,14 12 12,16.0,1789081
183,184,1457,11 15 12,16.0,1788973
184,185,1467,15 11 11,16.0,1788973
185,186,1470,15 11 12,16.0,1788973
186,187,1457,12 12 13,16.0,1787179
187,188,1460,12 12 14,16.0,1787179
