,rank,cp,ivs,maxlevel,stat-product
0,1,1499,13 15 14,20.5,867074
1,2,1495,12 15 14,20.5,865044
2,3,1500,12 15 15,20.5,865044
3,4,1492,11 15 14,20.5,863013
4,5,1497,11 15 15,20.5,863013
5,6,1499,10 13 14,21.0,862445
6,7,1496,15 15 12,20.5,861563
7,8,1498,12 12 15,21.0,861086
8,9,1488,10 15 14,20.5,860983
9,10,1493,10 15 15,20.5,860983
10,11,1500,11 14 11,21.0,860020
11,12,1492,14 15 12,20.5,859554
12,13,1497,14 15 13,20.5,859554
13,14,1500,13 13 12,21.0,859107
14,15,1495,11 12 15,21.0,859064
15,16,1497,10 14 11,21.0,857996
16,17,1489,13 15 12,20.5,857546
17,18,1494,13 15 13,20.5,857546
18,19,1496,12 13 12,21.0,857095
19,20,1491,10 12 15,21.0,857043
20,21,1493,15 14 14,20.5,856855
21,22,1498,15 14 15,20.5,856855
22,23,1500,10 10 15,21.5,856307
23,24,1500,14 12 14,21.0,855826
24,25,1485,12 15 12,20.5,855538
25,26,1490,12 15 13,20.5,855538
26,27,1493,11 13 12,21.0,855083
27,28,1498,11 13 13,21.0,855083
28,29,1490,14 14 14,20.5,854857
29,30,1495,14 14 15,20.5,854857
30,31,1497,13 12 14,21.0,853826
31,32,1482,11 15 12,20.5,853530
32,33,1487,11 15 13,20.5,853530
33,34,1489,10 13 12,21.0,853071
34,35,1494,10 13 13,21.0,853071
35,36,1499,10 11 12,21.5,853054
36,37,1486,13 14 14,20.5,852860
37,38,1491,13 14 15,20.5,852860
38,39,1499,12 14 10,21.0,852465
39,40,1496,15 11 15,21.0,852199
40,41,1491,15 15 11,20.5,851990
41,42,1493,12 12 14,21.0,851827
42,43,1498,14 13 11,21.0,851656
43,44,1478,10 15 12,20.5,851521
44,45,1483,10 15 13,20.5,851521
45,46,1483,12 14 14,20.5,850863
46,47,1488,12 14 15,20.5,850863
47,48,1495,11 14 10,21.0,850464
48,49,1492,14 11 15,21.0,850212
49,50,1487,14 15 11,20.5,850004
50,51,1490,11 12 14,21.0,849827
51,52,1499,13 11 10,21.5,849752
52,53,1495,13 13 11,21.0,849666
53,54,1499,11 10 14,21.5,849196
54,55,1479,11 14 14,20.5,848865
55,56,1484,11 14 15,20.5,848865
56,57,1494,15 12 12,21.0,848501
57,58,1499,15 12 13,21.0,848501
58,59,1492,10 14 10,21.0,848463
59,60,1489,13 11 15,21.0,848226
60,61,1484,13 15 11,20.5,848018
61,62,1486,10 12 14,21.0,847827
62,63,1496,12 11 10,21.5,847762
63,64,1491,12 13 11,21.0,847676
64,65,1483,15 14 12,20.5,847439
65,66,1488,15 14 13,20.5,847439
66,67,1495,10 10 14,21.5,847198
67,68,1476,10 14 14,20.5,846868
68,69,1481,10 14 15,20.5,846868
69,70,1490,14 12 12,21.0,846523
70,71,1495,14 12 13,21.0,846523
71,72,1485,12 11 15,21.0,846239
72,73,1480,12 15 11,20.5,846032
73,74,1499,14 10 12,21.5,845995
74,75,1492,11 11 10,21.5,845772
75,76,1497,11 11 11,21.5,845772
76,77,1488,11 13 11,21.0,845686
77,78,1480,14 14 12,20.5,845463
78,79,1485,14 14 13,20.5,845463
79,80,1487,13 12 12,21.0,844546
80,81,1492,13 12 13,21.0,844546
81,82,1482,11 11 15,21.0,844253
82,83,1497,15 13 10,21.0,844161
83,84,1477,11 15 11,20.5,844046
84,85,1496,13 10 12,21.5,844018
85,86,1489,10 11 10,21.5,843782
86,87,1494,10 11 11,21.5,843782
87,88,1484,10 13 11,21.0,843696
88,89,1476,13 14 12,20.5,843488
89,90,1481,13 14 13,20.5,843488
90,91,1491,15 11 14,21.0,843035
91,92,1481,15 13 14,20.5,842574
92,93,1486,15 13 15,20.5,842574
93,94,1484,12 12 12,21.0,842568
94,95,1489,12 12 13,21.0,842568
95,96,1486,15 15 10,20.5,842417
96,97,1478,10 11 15,21.0,842266
97,98,1493,14 13 10,21.0,842193
98,99,1473,10 15 11,20.5,842060
99,100,1492,12 10 12,21.5,842041
100,101,1497,12 10 13,21.5,842041
101,102,1473,12 14 12,20.5,841513
102,103,1478,12 14 13,20.5,841513
103,104,1487,14 11 14,21.0,841070
104,105,1477,14 13 14,20.5,840610
105,106,1482,14 13 15,20.5,840610
106,107,1480,11 12 12,21.0,840590
107,108,1485,11 12 13,21.0,840590
108,109,1469,15 15 14,20.0,840543
109,110,1474,15 15 15,20.0,840543
110,111,1482,14 15 10,20.5,840453
111,112,1490,13 13 10,21.0,840225
112,113,1489,11 10 12,21.5,840065
113,114,1494,11 10 13,21.5,840065
114,115,1469,11 14 12,20.5,839537
115,116,1474,11 14 13,20.5,839537
116,117,1489,15 12 11,21.0,839177
117,118,1484,13 11 14,21.0,839105
118,119,1493,15 10 10,21.5,838754
119,120,1498,15 10 11,21.5,838754
120,121,1474,13 13 14,20.5,838646
121,122,1479,13 13 15,20.5,838646
122,123,1477,10 12 12,21.0,838612
123,124,1482,10 12 13,21.0,838612
124,125,1465,14 15 14,20.0,838583
125,126,1470,14 15 15,20.0,838583
126,127,1479,13 15 10,20.5,838490
127,128,1486,12 13 10,21.0,838257
128,129,1485,10 10 12,21.5,838088
129,130,1490,10 10 13,21.5,838088
130,131,1478,15 14 11,20.5,838023
131,132,1466,10 14 12,20.5,837562
132,133,1471,10 14 13,20.5,837562
133,134,1483,15 10 15,21.0,837248
134,135,1485,14 12 11,21.0,837221
135,136,1481,12 11 14,21.0,837140
136,137,1489,14 10 10,21.5,836799
137,138,1494,14 10 11,21.5,836799
138,139,1470,12 13 14,20.5,836682
139,140,1475,12 13 15,20.5,836682
140,141,1467,13 15 15,20.0,836624
141,142,1475,12 15 10,20.5,836526
142,143,1483,11 13 10,21.0,836290
143,144,1475,14 14 11,20.5,836069
144,145,1479,14 10 15,21.0,835296
145,146,1482,13 12 11,21.0,835265
146,147,1477,11 11 14,21.0,835175
147,148,1486,13 10 10,21.5,834844
148,149,1491,13 10 11,21.5,834844
149,150,1467,11 13 14,20.5,834718
150,151,1472,11 13 15,20.5,834718
151,152,1472,11 15 10,20.5,834562
152,153,1479,10 13 10,21.0,834322
153,154,1471,13 14 11,20.5,834116
154,155,1481,15 11 12,21.0,833872
155,156,1486,15 11 13,21.0,833872
156,157,1476,13 10 15,21.0,833345
157,158,1471,15 13 12,20.5,833315
158,159,1476,15 13 13,20.5,833315
159,160,1479,12 12 11,21.0,833309
160,161,1474,10 11 14,21.0,833210
161,162,1482,12 10 10,21.5,832889
162,163,1487,12 10 11,21.5,832889
163,164,1468,10 13 15,20.5,832754
164,165,1468,10 15 10,20.5,832599
165,166,1468,12 14 11,20.5,832163
166,167,1478,14 11 12,21.0,831928
167,168,1483,14 11 13,21.0,831928
168,169,1472,12 10 15,21.0,831393
169,170,1467,14 13 12,20.5,831372
170,171,1472,14 13 13,20.5,831372
171,172,1475,11 12 11,21.0,831353
172,173,1464,15 15 13,20.0,831203
173,174,1479,11 10 10,21.5,830934
174,175,1484,11 10 11,21.5,830934
175,176,1474,13 11 12,21.0,829984
176,177,1479,13 11 13,21.0,829984
177,178,1484,15 12 10,21.0,829853
178,179,1469,11 10 15,21.0,829441
179,180,1469,13 13 13,20.5,829430
180,181,1472,10 12 11,21.0,829396
181,182,1475,10 10 10,21.5,828978
182,183,1480,10 10 11,21.5,828978
183,184,1473,15 14 10,20.5,828607
184,185,1468,15 12 14,20.5,828293
185,186,1473,15 12 15,20.5,828293
186,187,1478,15 10 14,21.0,828245
187,188,1471,12 11 12,21.0,828041
188,189,1476,12 11 13,21.0,828041
189,190,1480,14 12 10,21.0,827918
190,191,1466,12 13 13,20.5,827487
191,192,1470,14 14 10,20.5,826675
192,193,1470,14 12 15,20.5,826362
193,194,1474,14 10 14,21.0,826315
194,195,1467,11 11 12,21.0,826097
195,196,1472,11 11 13,21.0,826097
196,197,1477,13 12 10,21.0,825984
197,198,1466,13 14 10,20.5,824744
198,199,1476,15 11 11,21.0,824708
199,200,1466,13 12 15,20.5,824431
200,201,1471,13 10 14,21.0,824384
201,202,1469,10 11 13,21.0,824153
202,203,1466,15 13 11,20.5,824056
203,204,1474,12 12 10,21.0,824050
204,205,1473,14 11 11,21.0,822786
205,206,1467,12 10 14,21.0,822453
206,207,1470,11 12 10,21.0,822115
207,208,1469,13 11 11,21.0,820864
208,209,1467,10 12 10,21.0,820181
209,210,1468,15 10 12,21.0,819243
210,211,1473,15 10 13,21.0,819243
211,212,1466,12 11 11,21.0,818941
212,213,1469,14 10 13,21.0,817333
213,214,1471,15 11 10,21.0,815545
214,215,1466,13 10 13,21.0,815423
215,216,1468,14 11 10,21.0,813644
