,rank,cp,ivs,maxlevel,stat-product
0,1,1500,10 15 13,24.0,2229973
1,2,1498,10 14 13,24.0,2223510
2,3,1499,10 10 15,24.0,2220080
3,4,1496,10 13 13,24.0,2217046
4,5,1499,11 10 13,24.0,2211925
5,6,1498,12 15 15,23.5,2211861
6,7,1493,10 12 13,24.0,2210582
7,8,1498,10 12 14,24.0,2210582
8,9,1500,11 13 12,24.0,2208673
9,10,1495,10 15 12,24.0,2207218
10,11,1495,12 14 15,23.5,2205450
11,12,1491,10 11 13,24.0,2204119
12,13,1496,10 11 14,24.0,2204119
13,14,1497,13 15 13,23.5,2203325
14,15,1498,11 12 12,24.0,2202233
15,16,1493,10 14 12,24.0,2200821
16,17,1498,13 11 15,23.5,2200230
17,18,1500,12 13 10,24.0,2200005
18,19,1493,12 13 15,23.5,2199039
19,20,1494,11 15 10,24.0,2198648
20,21,1500,11 15 11,24.0,2198648
21,22,1500,14 12 13,23.5,2198077
22,23,1488,11 15 15,23.5,2197682
23,24,1489,10 10 13,24.0,2197655
24,25,1494,10 10 14,24.0,2197655
25,26,1495,13 14 13,23.5,2196938
26,27,1500,13 14 14,23.5,2196938
27,28,1496,11 11 12,24.0,2195794
28,29,1491,10 13 12,24.0,2194423
29,30,1496,13 10 15,23.5,2193778
30,31,1498,12 12 10,24.0,2193591
31,32,1491,12 12 15,23.5,2192627
32,33,1492,11 14 10,24.0,2192276
33,34,1497,11 14 11,24.0,2192276
34,35,1498,14 11 13,23.5,2191650
35,36,1486,11 14 15,23.5,2191312
36,37,1493,13 13 13,23.5,2190552
37,38,1498,13 13 14,23.5,2190552
38,39,1494,11 10 12,24.0,2189355
39,40,1488,12 15 13,23.5,2189291
40,41,1493,12 15 14,23.5,2189291
41,42,1500,14 14 12,23.5,2188139
42,43,1488,10 12 12,24.0,2188025
43,44,1495,12 11 10,24.0,2187177
44,45,1500,12 11 11,24.0,2187177
45,46,1489,12 11 15,23.5,2186216
46,47,1490,11 13 10,24.0,2185903
47,48,1495,11 13 11,24.0,2185903
48,49,1496,14 10 13,23.5,2185223
49,50,1484,11 13 15,23.5,2184942
50,51,1485,10 15 10,24.0,2184464
51,52,1490,10 15 11,24.0,2184464
52,53,1491,13 12 13,23.5,2184166
53,54,1496,13 12 14,23.5,2184166
54,55,1494,15 15 15,23.0,2183904
55,56,1478,10 15 15,23.5,2183504
56,57,1486,12 14 13,23.5,2182945
57,58,1491,12 14 14,23.5,2182945
58,59,1497,14 13 12,23.5,2181778
59,60,1486,10 11 12,24.0,2181628
60,61,1493,12 10 10,24.0,2180763
61,62,1498,12 10 11,24.0,2180763
62,63,1492,13 15 12,23.5,2180610
63,64,1487,12 10 15,23.5,2179805
64,65,1488,11 12 10,24.0,2179530
65,66,1493,11 12 11,24.0,2179530
66,67,1499,15 14 10,23.5,2179050
67,68,1482,11 12 15,23.5,2178572
68,69,1483,10 14 10,24.0,2178132
69,70,1488,10 14 11,24.0,2178132
70,71,1489,13 11 13,23.5,2177779
71,72,1494,13 11 14,23.5,2177779
72,73,1492,15 14 15,23.0,2177574
73,74,1476,10 14 15,23.5,2177175
74,75,1483,12 13 13,23.5,2176599
75,76,1488,12 13 14,23.5,2176599
76,77,1500,15 10 12,23.5,2176383
77,78,1495,14 12 12,23.5,2175417
78,79,1478,11 15 13,23.5,2175257
79,80,1483,11 15 14,23.5,2175257
80,81,1484,10 10 12,24.0,2175230
81,82,1490,13 14 12,23.5,2174290
82,83,1486,11 11 10,24.0,2173157
83,84,1491,11 11 11,24.0,2173157
84,85,1497,15 13 10,23.5,2172716
85,86,1479,11 11 15,23.5,2172202
86,87,1481,10 13 10,24.0,2171800
87,88,1486,10 13 11,24.0,2171800
88,89,1492,14 15 10,23.5,2171640
89,90,1497,14 15 11,23.5,2171640
90,91,1486,13 10 13,23.5,2171393
91,92,1491,13 10 14,23.5,2171393
92,93,1490,15 13 15,23.0,2171244
93,94,1474,10 13 15,23.5,2170846
94,95,1481,12 12 13,23.5,2170254
95,96,1486,12 12 14,23.5,2170254
96,97,1485,14 15 15,23.0,2170169
97,98,1493,14 11 12,23.5,2169056
98,99,1476,11 14 13,23.5,2168952
99,100,1481,11 14 14,23.5,2168952
100,101,1488,13 13 12,23.5,2167969
101,102,1484,11 10 10,24.0,2166784
102,103,1489,11 10 11,24.0,2166784
103,104,1483,12 15 12,23.5,2166721
104,105,1495,15 12 10,23.5,2166381
105,106,1500,15 12 11,23.5,2166381
106,107,1477,11 10 15,23.5,2165832
107,108,1478,10 12 10,24.0,2165468
108,109,1483,10 12 11,24.0,2165468
109,110,1489,14 14 10,23.5,2165345
110,111,1495,14 14 11,23.5,2165345
111,112,1487,15 12 15,23.0,2164913
112,113,1472,10 12 15,23.5,2164517
113,114,1479,12 11 13,23.5,2163908
114,115,1484,12 11 14,23.5,2163908
115,116,1482,14 14 15,23.0,2163878
116,117,1491,14 10 12,23.5,2162695
117,118,1474,11 13 13,23.5,2162647
118,119,1479,11 13 14,23.5,2162647
119,120,1486,13 12 12,23.5,2161648
120,121,1484,15 15 13,23.0,2161389
121,122,1489,15 15 14,23.0,2161389
122,123,1474,10 15 14,23.5,2161223
123,124,1481,12 14 12,23.5,2160441
124,125,1492,15 11 10,23.5,2160047
125,126,1497,15 11 11,23.5,2160047
126,127,1476,10 11 10,24.0,2159137
127,128,1481,10 11 11,24.0,2159137
128,129,1487,14 13 10,23.5,2159051
129,130,1492,14 13 11,23.5,2159051
130,131,1485,15 11 15,23.0,2158583
131,132,1470,10 11 15,23.5,2158188
132,133,1482,13 15 10,23.5,2157895
133,134,1487,13 15 11,23.5,2157895
134,135,1480,14 13 15,23.0,2157588
135,136,1477,12 10 13,23.5,2157562
136,137,1482,12 10 14,23.5,2157562
137,138,1475,13 15 15,23.0,2156433
138,139,1472,11 12 13,23.5,2156342
139,140,1477,11 12 14,23.5,2156342
140,141,1484,13 11 12,23.5,2155328
141,142,1482,15 14 13,23.0,2155124
142,143,1487,15 14 14,23.0,2155124
143,144,1471,10 14 14,23.5,2154959
144,145,1478,12 13 12,23.5,2154160
145,146,1490,15 10 10,23.5,2153712
146,147,1495,15 10 11,23.5,2153712
147,148,1473,11 15 12,23.5,2152832
148,149,1474,10 10 10,24.0,2152805
149,150,1479,10 10 11,24.0,2152805
150,151,1485,14 12 10,23.5,2152756
151,152,1490,14 12 11,23.5,2152756
152,153,1483,15 10 15,23.0,2152253
153,154,1480,13 14 10,23.5,2151641
154,155,1485,13 14 11,23.5,2151641
155,156,1478,14 12 15,23.0,2151298
156,157,1473,13 14 15,23.0,2150183
157,158,1470,11 11 13,23.5,2150037
158,159,1474,11 11 14,23.5,2150037
159,160,1481,13 10 12,23.5,2149007
160,161,1480,15 13 13,23.0,2148860
161,162,1485,15 13 14,23.0,2148860
162,163,1469,10 13 14,23.5,2148694
163,164,1476,12 12 12,23.5,2147880
164,165,1475,14 15 13,23.0,2147796
165,166,1480,14 15 14,23.0,2147796
166,167,1471,11 14 12,23.5,2146592
167,168,1483,14 11 10,23.5,2146462
168,169,1488,14 11 11,23.5,2146462
169,170,1478,13 13 10,23.5,2145386
170,171,1483,13 13 11,23.5,2145386
171,172,1476,14 11 15,23.0,2145007
172,173,1473,12 15 10,23.5,2144151
173,174,1478,12 15 11,23.5,2144151
174,175,1471,13 13 15,23.0,2143932
175,176,1472,11 10 14,23.5,2143732
176,177,1478,15 12 13,23.0,2142595
177,178,1483,15 12 14,23.0,2142595
178,179,1474,12 11 12,23.5,2141600
179,180,1473,14 14 13,23.0,2141570
180,181,1477,14 14 14,23.0,2141570
181,182,1481,14 10 10,23.5,2140167
182,183,1486,14 10 11,23.5,2140167
183,184,1476,13 12 10,23.5,2139131
184,185,1481,13 12 11,23.5,2139131
185,186,1479,15 15 12,23.0,2138875
186,187,1474,14 10 15,23.0,2138717
187,188,1471,12 14 10,23.5,2137936
188,189,1476,12 14 11,23.5,2137936
189,190,1469,13 12 15,23.0,2137682
190,191,1475,15 11 13,23.0,2136330
191,192,1480,15 11 14,23.0,2136330
192,193,1470,14 13 13,23.0,2135345
193,194,1475,14 13 14,23.0,2135345
194,195,1472,12 10 12,23.5,2135319
195,196,1470,13 15 14,23.0,2134202
196,197,1474,13 11 10,23.5,2132876
197,198,1479,13 11 11,23.5,2132876
198,199,1477,15 14 12,23.0,2132675
199,200,1473,12 13 11,23.5,2131721
200,201,1473,15 10 13,23.0,2130065
201,202,1478,15 10 14,23.0,2130065
202,203,1473,14 12 14,23.0,2129119
203,204,1471,13 10 10,23.5,2126622
204,205,1476,13 10 11,23.5,2126622
205,206,1475,15 13 12,23.0,2126476
206,207,1471,12 12 11,23.5,2125506
207,208,1470,14 15 12,23.0,2125423
208,209,1471,14 11 14,23.0,2122894
209,210,1473,15 12 12,23.0,2120276
210,211,1469,14 10 14,23.0,2116668
211,212,1469,15 15 10,23.0,2116360
212,213,1474,15 15 11,23.0,2116360
213,214,1471,15 11 12,23.0,2114076
214,215,1472,15 14 11,23.0,2110226
215,216,1470,15 13 11,23.0,2104092
