,rank,cp,ivs,maxlevel,stat-product
0,1,2497,10 13 15,27.5,4044885
1,2,2498,10 14 14,27.5,4038839
2,3,2498,11 14 12,27.5,4032903
3,4,2493,10 15 12,27.5,4032577
4,5,2498,10 15 13,27.5,4032577
5,6,2497,11 11 15,27.5,4026829
6,7,2492,10 12 15,27.5,4026747
7,8,2499,11 15 11,27.5,4026504
8,9,2498,11 12 14,27.5,4020972
9,10,2492,10 13 14,27.5,4020809
10,11,2499,12 12 12,27.5,4014980
11,12,2493,11 13 12,27.5,4014899
12,13,2498,11 13 13,27.5,4014899
13,14,2499,10 10 10,28.0,4014671
14,15,2487,10 14 12,27.5,4014654
15,16,2492,10 14 13,27.5,4014654
16,17,2496,13 15 15,27.0,4013231
17,18,2499,12 13 11,27.5,4008770
18,19,2486,10 11 15,27.5,4008608
19,20,2492,11 10 15,27.5,4008608
20,21,2493,11 14 11,27.5,4008608
21,22,2487,10 15 11,27.5,4008284
22,23,2497,14 15 13,27.0,4006943
23,24,2492,11 11 14,27.5,4002860
24,25,2486,10 12 14,27.5,4002778
25,26,2498,12 10 14,27.5,4002778
26,27,2499,12 14 10,27.5,4002342
27,28,2493,11 15 10,27.5,4002101
28,29,2487,11 12 12,27.5,3996895
29,30,2493,11 12 13,27.5,3996895
30,31,2493,12 11 12,27.5,3996895
31,32,2498,12 11 13,27.5,3996895
32,33,2482,10 13 12,27.5,3996732
33,34,2487,10 13 13,27.5,3996732
34,35,2498,13 10 12,27.5,3996732
35,36,2491,13 14 15,27.0,3995394
36,37,2496,14 13 15,27.0,3995394
37,38,2485,12 15 15,27.0,3995234
38,39,2493,12 12 11,27.5,3990794
39,40,2488,11 13 11,27.5,3990713
40,41,2499,13 11 11,27.5,3990713
41,42,2480,10 10 15,27.5,3990470
42,43,2482,10 14 11,27.5,3990470
43,44,2492,14 14 13,27.0,3989134
44,45,2497,14 14 14,27.0,3989134
45,46,2486,13 15 13,27.0,3989055
46,47,2491,13 15 14,27.0,3989055
47,48,2497,15 13 13,27.0,3989055
48,49,2481,10 11 14,27.5,3984747
49,50,2486,11 10 14,27.5,3984747
50,51,2494,12 13 10,27.5,3984475
51,52,2499,13 12 10,27.5,3984475
52,53,2488,11 14 10,27.5,3984314
53,54,2482,10 15 10,27.5,3983992
54,55,2492,14 15 12,27.0,3982658
55,56,2497,15 14 12,27.0,3982658
56,57,2482,11 11 12,27.5,3978891
57,58,2487,11 11 13,27.5,3978891
58,59,2476,10 12 12,27.5,3978809
59,60,2481,10 12 13,27.5,3978809
60,61,2487,12 10 12,27.5,3978809
61,62,2492,12 10 13,27.5,3978809
62,63,2485,13 13 15,27.0,3977558
63,64,2480,12 14 15,27.0,3977478
64,65,2491,14 12 15,27.0,3977478
65,66,2474,11 15 15,27.0,3977238
66,67,2496,15 11 15,27.0,3977238
67,68,2492,15 15 10,27.0,3976045
68,69,2498,15 15 11,27.0,3976045
69,70,2482,11 12 11,27.5,3972817
70,71,2488,12 11 11,27.5,3972817
71,72,2476,10 13 11,27.5,3972655
72,73,2493,13 10 11,27.5,3972655
73,74,2480,13 14 13,27.0,3971325
74,75,2486,13 14 14,27.0,3971325
75,76,2486,14 13 13,27.0,3971325
76,77,2491,14 13 14,27.0,3971325
77,78,2475,12 15 13,27.0,3971166
78,79,2480,12 15 14,27.0,3971166
79,80,2491,15 12 13,27.0,3971166
80,81,2497,15 12 14,27.0,3971166
81,82,2475,10 10 14,27.5,3966717
82,83,2488,12 12 10,27.5,3966607
83,84,2482,11 13 10,27.5,3966527
84,85,2494,13 11 10,27.5,3966527
85,86,2477,10 14 10,27.5,3966285
86,87,2499,14 10 10,27.5,3966285
87,88,2486,14 14 12,27.0,3964958
88,89,2481,13 15 12,27.0,3964879
89,90,2492,15 13 12,27.0,3964879
90,91,2470,10 11 12,27.5,3960887
91,92,2476,10 11 13,27.5,3960887
92,93,2476,11 10 12,27.5,3960887
93,94,2481,11 10 13,27.5,3960887
94,95,2474,12 13 15,27.0,3959721
95,96,2480,13 12 15,27.0,3959721
96,97,2468,11 14 15,27.0,3959561
97,98,2485,14 11 15,27.0,3959561
98,99,2463,10 15 15,27.0,3959241
99,100,2491,15 10 15,27.0,3959241
100,101,2481,14 15 10,27.0,3958374
101,102,2487,14 15 11,27.0,3958374
102,103,2487,15 14 10,27.0,3958374
103,104,2492,15 14 11,27.0,3958374
104,105,2476,11 11 11,27.5,3954922
105,106,2471,10 12 11,27.5,3954841
106,107,2482,12 10 11,27.5,3954841
107,108,2475,13 13 13,27.0,3953596
108,109,2480,13 13 14,27.0,3953596
109,110,2469,12 14 13,27.0,3953517
110,111,2474,12 14 14,27.0,3953517
111,112,2480,14 12 13,27.0,3953517
112,113,2486,14 12 14,27.0,3953517
113,114,2464,11 15 13,27.0,3953278
114,115,2469,11 15 14,27.0,3953278
115,116,2486,15 11 13,27.0,3953278
116,117,2491,15 11 14,27.0,3953278
117,118,2472,15 15 15,26.5,3950280
118,119,2477,11 12 10,27.5,3948739
119,120,2482,12 11 10,27.5,3948739
120,121,2471,10 13 10,27.5,3948578
121,122,2488,13 10 10,27.5,3948578
122,123,2475,13 14 12,27.0,3947257
123,124,2481,14 13 12,27.0,3947257
124,125,2470,12 15 12,27.0,3947099
125,126,2486,15 12 12,27.0,3947099
126,127,2465,10 10 12,27.5,3942964
127,128,2470,10 10 13,27.5,3942964
128,129,2469,12 12 15,27.0,3941964
129,130,2463,11 13 15,27.0,3941884
130,131,2474,13 11 15,27.0,3941884
131,132,2457,10 14 15,27.0,3941644
132,133,2480,14 10 15,27.0,3941644
133,134,2476,14 14 10,27.0,3940781
134,135,2481,14 14 11,27.0,3940781
135,136,2470,13 15 10,27.0,3940702
136,137,2476,13 15 11,27.0,3940702
137,138,2481,15 13 10,27.0,3940702
138,139,2487,15 13 11,27.0,3940702
139,140,2465,10 11 11,27.5,3937026
140,141,2471,11 10 11,27.5,3937026
141,142,2464,12 13 13,27.0,3935867
142,143,2469,12 13 14,27.0,3935867
143,144,2469,13 12 13,27.0,3935867
144,145,2475,13 12 14,27.0,3935867
145,146,2458,11 14 13,27.0,3935708
146,147,2463,11 14 14,27.0,3935708
147,148,2475,14 11 13,27.0,3935708
148,149,2480,14 11 14,27.0,3935708
149,150,2458,10 15 14,27.0,3935390
150,151,2480,15 10 13,27.0,3935390
151,152,2485,15 10 14,27.0,3935390
152,153,2461,14 15 15,26.5,3932723
153,154,2467,15 14 15,26.5,3932723
154,155,2471,11 11 10,27.5,3930952
155,156,2466,10 12 10,27.5,3930872
156,157,2477,12 10 10,27.5,3930872
157,158,2470,13 13 12,27.0,3929635
158,159,2464,12 14 12,27.0,3929556
159,160,2475,14 12 12,27.0,3929556
160,161,2458,11 15 12,27.0,3929319
161,162,2481,15 11 12,27.0,3929319
162,163,2467,15 15 14,26.5,3926339
163,164,2457,11 12 15,27.0,3924208
164,165,2463,12 11 15,27.0,3924208
165,166,2468,13 10 15,27.0,3924048
166,167,2465,13 14 10,27.0,3923188
167,168,2470,13 14 11,27.0,3923188
168,169,2470,14 13 10,27.0,3923188
169,170,2476,14 13 11,27.0,3923188
170,171,2459,12 15 10,27.0,3923031
171,172,2464,12 15 11,27.0,3923031
172,173,2476,15 12 10,27.0,3923031
173,174,2481,15 12 11,27.0,3923031
174,175,2460,10 10 11,27.5,3919211
175,176,2458,12 12 13,27.0,3918218
176,177,2463,12 12 14,27.0,3918218
177,178,2458,11 13 14,27.0,3918138
178,179,2464,13 11 13,27.0,3918138
179,180,2469,13 11 14,27.0,3918138
180,181,2469,14 10 13,27.0,3917900
181,182,2474,14 10 14,27.0,3917900
182,183,2456,14 14 15,26.5,3915245
183,184,2461,15 13 15,26.5,3915167
184,185,2460,10 11 10,27.5,3913165
185,186,2466,11 10 10,27.5,3913165
186,187,2459,12 13 12,27.0,3912013
187,188,2464,13 12 12,27.0,3912013
188,189,2470,14 11 12,27.0,3911855
189,190,2475,15 10 12,27.0,3911539
190,191,2456,14 15 14,26.5,3908889
191,192,2461,15 14 14,26.5,3908889
192,193,2457,12 10 15,27.0,3906451
193,194,2459,13 13 10,27.0,3905674
194,195,2464,13 13 11,27.0,3905674
195,196,2459,12 14 11,27.0,3905595
196,197,2465,14 12 10,27.0,3905595
197,198,2470,14 12 11,27.0,3905595
198,199,2470,15 11 10,27.0,3905360
199,200,2475,15 11 11,27.0,3905360
200,201,2462,15 15 13,26.5,3902398
201,202,2458,12 11 14,27.0,3900568
202,203,2458,13 10 13,27.0,3900409
203,204,2463,13 10 14,27.0,3900409
204,205,2456,15 12 15,26.5,3897610
205,206,2459,13 11 12,27.0,3894392
206,207,2464,14 10 12,27.0,3894155
207,208,2456,15 13 14,26.5,3891438
208,209,2459,13 12 11,27.0,3888160
209,210,2459,14 11 10,27.0,3888003
210,211,2464,14 11 11,27.0,3888003
211,212,2465,15 10 10,27.0,3887688
212,213,2470,15 10 11,27.0,3887688
213,214,2456,15 14 13,26.5,3885054
214,215,2457,15 15 12,26.5,3878457
215,216,2459,14 10 11,27.0,3870410
